segment,t,beta_nocage,delta_nocage,beta_cage,delta_cage,g_nocage,g_cage,f_cage,T0,conv_cage,cage_ok,Lmech_W,Lmech_SN,Lmech_total,R2,v2,R1_nocage,R1_cage,vmin_nocage,vmin_cage,c_sound
0,0.0034101956,0.59080147,-0.0022639888,0.59080147,-0.0022639888,2.416525e-17,2.416525e-17,2.967211e-16,5753787.5,True,True,2.0282212e+08,3.8111559e-15,2.0282212e+08,0.27082343,32.093223,0.058109592,0.058109592,0.0020320921,0.0020320921,602.38667
1,0.0038073597,0.60754191,-0.057727556,0.61080147,-0.022263989,2.8417523e-15,2.7101074e-05,4.8577259e-05,5752270,True,True,2.0282235e+08,3.9836705e-15,2.0282235e+08,0.28335322,31.055005,0.060053276,0.060053276,0.0020776767,0.0024569003,600.73496
2,0.0041228384,0.60754191,-0.057727556,0.63080147,-0.042263989,4.6150553e-05,2.4035576e-05,2.6161819e-05,5726744.5,True,True,2.0282248e+08,4.0818352e-15,2.0282248e+08,0.29302389,30.281787,0.061532727,0.061532727,0.00096701759,0.0023004643,598.88424
3,0.0045200025,0.64705579,-0.090682745,0.65080147,-0.062263989,1.9694111e-15,1.5139717e-05,2.079203e-05,5692919.5,True,True,2.0282258e+08,4.1569842e-15,2.0282258e+08,0.30486853,29.403036,0.063288897,0.063288897,0.0027739285,0.0022739645,595.98694
4,0.0048354812,0.64705579,-0.090682745,0.66080147,-0.082263989,2.2480704e-05,7.127806e-06,1.2668075e-05,5666981.1,True,True,2.0282261e+08,4.1785734e-15,2.0282261e+08,0.31403799,28.749173,0.064690809,0.064690809,0.0026492585,0.0028028652,594.20106
5,0.0052326453,0.68155263,-0.0903137,0.68080147,-0.082263989,5.6762592e-15,1.2947819e-06,9.5905052e-06,5614754.3,True,True,2.0282258e+08,4.1582823e-15,2.0282258e+08,0.32530095,27.997334,0.066371334,0.066371334,-5.804852e-05,0.00050111804,590.87319
6,0.0057326453,0.68155263,-0.0903137,0.70080147,-0.092263989,3.6727368e-05,3.6759145e-06,4.0931758e-06,5575661.4,True,True,2.0282246e+08,4.0583678e-15,2.0282246e+08,0.33907703,27.146429,0.068475641,0.068475641,0.0027595899,0.0016201361,588.26588
7,0.0061298094,0.71492127,-0.0986163,0.71080147,-0.11226399,1.0226606e-18,3.6150354e-06,5.4174667e-06,5531470.8,True,True,2.0282229e+08,3.9206627e-15,2.0282229e+08,0.34972767,26.509204,0.070059669,0.070059669,0.0018216717,0.0023251859,585.34457
8,0.0066298094,0.71492127,-0.0986163,0.72080147,-0.13226399,1.9052906e-05,7.8763091e-06,9.8116571e-06,5492905.8,True,True,2.0282198e+08,3.6748537e-15,2.0282198e+08,0.36279259,25.780461,0.072053737,0.072053737,0.0015074528,0.00084258077,582.86541
9,0.0072592721,0.74918744,-0.10941598,0.74080147,-0.14226399,4.6136569e-15,1.6437039e-05,1.7469265e-05,5435601.2,True,True,2.0282144e+08,3.252302e-15,2.0282144e+08,0.378748,24.95472,0.074430933,0.074430933,0.0019262671,0.0017947956,579.12578
10,0.0077592721,0.74918744,-0.10941598,0.75080147,-0.14226399,6.2710182e-06,8.7918259e-06,9.0419078e-06,5399263.5,True,True,2.028209e+08,2.8282856e-15,2.028209e+08,0.39106598,24.339432,0.076310267,0.076310267,0.0026020811,0.002442894,576.82856
11,0.0083887348,0.74918744,-0.10941598,0.76080147,-0.15226399,3.5983399e-05,8.0810041e-06,8.0922273e-06,5357779.3,True,True,2.0282007e+08,2.185217e-15,2.0282007e+08,0.40615553,23.634847,0.07857071,0.07857071,0.0014420571,0.0016825286,574.17982
12,0.0091811814,0.79020627,-0.10978458,0.78080147,-0.14226399,3.2507645e-14,1.4394868e-05,1.6384004e-05,5291487,True,True,2.0281881e+08,1.2059161e-15,2.0281881e+08,0.42455473,22.841127,0.081269226,0.081269226,0.0034218059,0.0031267874,569.99585
13,0.0098106441,0.79020627,-0.10978458,0.78080147,-0.14226399,7.9493155e-07,1.4968037e-05,3.9417135e-05,5253587.5,True,True,2.0281764e+08,2.9613318e-16,2.0281764e+08,0.43874004,22.252,0.083421324,0.083421324,0.0019481627,0.0026335153,567.5696
14,0.010603091,0.79020627,-0.10978458,0.79080147,-0.14226399,5.7247007e-06,7.2922742e-06,7.4744181e-06,5210689.1,True,True,2.0281594e+08,-1.0112936e-15,2.0281594e+08,0.45609536,21.579335,0.08601328,0.08601328,0.0016938489,0.0029470368,564.78453
15,0.011232553,0.79020627,-0.10978458,0.79080147,-0.14226399,1.0472593e-05,7.8752577e-06,2.4399172e-05,5179279.2,True,True,2.0281443e+08,-2.1756414e-15,2.0281443e+08,0.46951506,21.075889,0.087989842,0.087989842,0.0012985301,0.0015662137,562.71359
16,0.012025,0.79020627,-0.10978458,0.80080147,-0.14226399,2.1352647e-05,3.0292686e-06,3.1563376e-06,5143304.6,True,True,2.0281232e+08,-3.7958988e-15,2.0281232e+08,0.48597855,20.497735,0.090383699,0.090383699,0.0014160083,0.0020725955,560.31541
17,0.013022631,0.79020627,-0.10978458,0.80080147,-0.14226399,4.5648093e-05,7.3775725e-06,9.4133047e-05,5102719.7,True,True,2.0280935e+08,-6.0735628e-15,2.0280935e+08,0.50608656,19.843748,0.093263377,0.093263377,0.0025845146,0.0016095563,557.57606
18,0.013815078,0.79020627,-0.10978458,0.81080147,-0.15226399,6.554511e-05,2.9290915e-06,8.8711581e-06,5072983.5,True,True,2.0280673e+08,-8.0659024e-15,2.0280673e+08,0.5216124,19.357554,0.095457719,0.095457719,0.0014977708,0.0011885397,555.54339
19,0.014812709,0.84191165,-0.08760431,0.83080147,-0.13226399,2.8173156e-16,1.822773e-05,2.4197638e-05,5010373.6,True,True,2.0280314e+08,-1.0796731e-14,2.0280314e+08,0.5406361,18.802713,0.098112879,0.098112879,0.00075507943,-0.00032781533,551.65239
20,0.016068652,0.84191165,-0.08760431,0.83080147,-0.13226399,1.549556e-06,2.0193138e-05,9.3731825e-05,4966008.7,True,True,2.0279815e+08,-1.4573756e-14,2.0279815e+08,0.56384076,18.178675,0.10151301,0.10151301,0.0012515302,0.0012866636,548.66204
21,0.017066283,0.84191165,-0.08760431,0.82080147,-0.11226399,6.2009496e-06,1.1160281e-05,1.3814785e-05,4933205.7,True,True,2.0279382e+08,-1.7831691e-14,2.0279382e+08,0.58173521,17.711794,0.10410681,0.10410681,-3.7071857e-05,0.0020072046,546.43082
22,0.018322227,0.84191165,-0.08760431,0.82080147,-0.11226399,1.2157308e-05,1.1020923e-05,2.3650837e-05,4895272.2,True,True,2.0278794e+08,-2.2241858e-14,2.0278794e+08,0.60363096,17.17796,0.10724691,0.10724691,0.0016958647,0.00162603,543.84011
23,0.019903365,0.84191165,-0.08760431,0.82080147,-0.11226399,1.5640014e-05,1.1607225e-05,5.2862811e-05,4851829.6,True,True,2.0277987e+08,-2.8255768e-14,2.0277987e+08,0.63029298,16.576448,0.11102282,0.11102282,-1.6977396e-05,0.0021594095,540.86524
24,0.021159309,0.84191165,-0.08760431,0.82080147,-0.092263989,1.9924382e-05,3.4357971e-06,1.2419894e-05,4819392.6,True,True,2.0277296e+08,-3.3376433e-14,2.0277296e+08,0.65082128,16.129664,0.1139025,0.1139025,0.001478214,0.001762317,538.64048
25,0.022740447,0.84191165,-0.08760431,0.82080147,-0.092263989,1.8650045e-05,3.2321508e-06,1.1403007e-05,4781483.2,True,True,2.0276365e+08,-4.0224059e-14,2.0276365e+08,0.67590559,15.621452,0.11738634,0.11738634,0.0017322131,0.00095859967,536.0489
26,0.024730983,0.84191165,-0.08760431,0.82080147,-0.092263989,8.372782e-06,3.2359816e-06,1.6174444e-05,4737372.1,True,True,2.0275103e+08,-4.9425788e-14,2.0275103e+08,0.70640551,15.051718,0.12157252,0.12157252,0.0003114478,0.002325921,533.05555
27,0.026312122,0.78951685,-0.21231971,0.82080147,-0.11226399,5.9895967e-20,6.2289131e-05,6.791399e-05,4754631.1,True,True,2.0274035e+08,-5.7150249e-14,2.0274035e+08,0.72985867,14.629991,0.12476422,0.12476422,0.0011544623,0.0016246335,533.12697
28,0.028302658,0.85310165,-0.12830129,0.84080147,-0.13226399,7.6513862e-16,4.673641e-06,0.00010852318,4678261.1,True,True,2.0272612e+08,-6.733464e-14,2.0272612e+08,0.75848349,14.151534,0.12838252,0.12838252,0.00066901391,0.0010929056,528.68984
29,0.029883797,0.85310165,-0.12830129,0.86080147,-0.13226399,1.8263914e-06,1.2115971e-07,2.1590303e-06,4646935.3,True,True,2.0271425e+08,-7.574338e-14,2.0271425e+08,0.780571,13.798587,0.13137562,0.13137562,0.0010691784,0.0031397422,526.64002
30,0.031874333,0.85310165,-0.12830129,0.86080147,-0.13226399,1.0727188e-05,2.9402375e-06,9.3959031e-05,4610225.6,True,True,2.0269866e+08,-8.6668022e-14,2.0269866e+08,0.80761807,13.392486,0.13501261,0.13501261,0.0012214157,0.00095749374,524.23569
31,0.034380269,0.85310165,-0.12830129,0.88080147,-0.14226399,3.0307755e-05,6.6454026e-07,6.6477441e-07,4568039,True,True,2.0267812e+08,-1.0084912e-13,2.0267812e+08,0.84057535,12.931288,0.13940391,0.13940391,0.0018639314,0.0018987826,521.45748
32,0.036370805,0.85310165,-0.12830129,0.88080147,-0.14226399,4.6859881e-05,2.7327084e-06,7.7659318e-05,4536767,True,True,2.0266116e+08,-1.1236099e-13,2.0266116e+08,0.86596173,12.587115,0.14276751,0.14276751,0.00025645457,0.0011775582,519.38033
33,0.038876741,0.85310165,-0.12830129,0.90080147,-0.14226399,7.4344227e-05,3.6120427e-06,6.9486394e-06,4500622.6,True,True,2.0263915e+08,-1.2703954e-13,2.0263915e+08,0.89699006,12.192009,0.14684916,0.14684916,0.00086870231,0.0023059449,516.96219
34,0.042031528,0.93294974,-0.11731397,0.92080147,-0.14226399,2.2357287e-14,3.8429001e-06,6.2312963e-06,4438031.5,True,True,2.026106e+08,-1.4559604e-13,2.026106e+08,0.93471499,11.744046,0.15176977,0.15176977,0.00097232843,0.00065655256,512.8006
35,0.044537464,0.93294974,-0.11731397,0.90080147,-0.12226399,1.4697232e-05,3.8304542e-06,5.6584086e-06,4401553.6,True,True,2.0258745e+08,-1.6021308e-13,2.0258745e+08,0.96371231,11.409916,0.15589172,0.15589172,0.0015824989,0.0010607277,510.38797
36,0.04769225,0.93294974,-0.11731397,0.88080147,-0.10226399,7.4487952e-05,4.043542e-06,1.6431644e-05,4359478.1,True,True,2.0255796e+08,-1.7820963e-13,2.0255796e+08,0.99907301,11.022253,0.16089812,0.16089812,0.00048637213,-0.0011703667,507.5752
37,0.051663892,0.84503424,-0.097057179,0.86080147,-0.082263989,1.5803062e-14,3.0076275e-06,3.7611031e-05,4327672.7,True,True,2.0252075e+08,-1.9978995e-13,2.0252075e+08,1.0419946,10.627,0.16695595,0.16695595,0.00081738752,0.00066211742,505.60724
38,0.054818678,0.84503424,-0.097057179,0.88080147,-0.082263989,1.303933e-05,5.9198078e-06,9.7742061e-06,4301910.7,True,True,2.0249149e+08,-2.1570933e-13,2.0249149e+08,1.0751071,10.381349,0.17118145,0.17118145,0.0010768774,0.0013594151,503.81312
39,0.05879032,0.89789534,-0.14243338,0.90080147,-0.10226399,4.3753436e-17,1.1543615e-05,0.00038341459,4271772.6,True,True,2.0245554e+08,-2.3371187e-13,2.0245554e+08,1.1158312,10.145791,0.17632662,0.17632662,0.00049859357,0.00090345128,501.46138
40,0.06379032,0.89789534,-0.14243338,0.92080147,-0.12226399,3.1534015e-05,2.3381603e-05,0.00099847767,4235313.6,True,True,2.024126e+08,-2.52279e-13,2.024126e+08,1.165957,9.9279954,0.18294708,0.18294708,0.0013917476,0.0012784547,499.03725
41,0.070084947,1.0624491,-0.11407822,0.94080147,-0.14226399,1.1274893e-16,0.00015481589,0.0056705816,4160713.8,False,True,2.0236397e+08,-2.6743385e-13,2.0236397e+08,1.2277408,9.7305914,0.19093555,0.19093555,0.00091542787,0.0011370836,494.08494
42,0.075084947,1.0624491,-0.11407822,0.96080147,-0.16226399,1.0125306e-05,5.3070937e-05,0.00069121151,4119280,True,True,2.0233115e+08,-2.7147846e-13,2.0233115e+08,1.2760314,9.6000509,0.19811518,0.19811518,0.0011392999,0.0003691811,491.46436
43,0.081379574,1.0624491,-0.11407822,0.98080147,-0.16226399,1.8940572e-05,2.8474228e-05,3.0237892e-05,4072119,True,True,2.0229921e+08,-2.6451767e-13,2.0229921e+08,1.3359789,9.4660279,0.20687091,0.20687091,0.00077814353,0.00096097494,488.48699
44,0.08930404,1.0624491,-0.11407822,1,-0.17226399,3.4609202e-06,2.2613847e-05,2.26423e-05,4018548.4,True,True,2.0227737e+08,-2.3320681e-13,2.0227737e+08,1.4103654,9.3323253,0.21750141,0.21750141,0.0013886155,0.00098247098,485.12972
45,0.099280351,1.0124397,-0.28825281,1,-0.19226399,2.3744643e-14,6.3546347e-05,0.002686666,3990468.3,True,True,2.0228608e+08,-1.5117814e-13,2.0228608e+08,1.5026707,9.203831,0.23035391,0.23035391,0.0023447686,0.00032786041,482.96945
46,0.10720482,1.2464165,-0.16508635,1,-0.21226399,7.9262613e-18,0.00050034407,0.017747745,3898655.8,False,True,2.0232774e+08,-4.6344857e-14,2.0232774e+08,1.5751394,9.1030015,0.23969287,0.23969287,0.00082311075,0.0011524903,477.22775
47,0.11718113,1.2464165,-0.16508635,1,-0.23226399,2.8635653e-05,0.00029309903,0.0074594527,3829834,False,True,2.0243105e+08,1.4102733e-13,2.0243105e+08,1.6653821,9.0108491,0.25364926,0.25364926,0.00089825306,0.0015510463,473.06181
48,0.12974056,1.1345207,-0.16380835,1,-0.25226399,5.0689025e-18,0.0001148762,0.0024535446,3770839.3,False,True,2.0263865e+08,4.365329e-13,2.0263865e+08,1.777729,8.9096398,0.27070349,0.27070349,0.0006713122,0.0025327701,469.62899
49,0.14555195,1.2511005,-0.1768891,1,-0.27226399,8.8501513e-17,0.00043349055,0.012212613,3695561.2,False,True,2.0300411e+08,8.1574983e-13,2.0300411e+08,1.9174535,8.8035677,0.28966924,0.28966924,0.00065699014,0.00044202042,464.5635
50,0.15811138,1.2511005,-0.1768891,1,-0.29226399,3.552404e-06,0.00034823806,0.0082003281,3643443.6,False,True,2.0336104e+08,1.0484347e-12,2.0336104e+08,2.027339,8.7162292,0.30560096,0.30560096,0.0019945031,0.0018778048,461.17244
51,0.17392277,1.2511005,-0.1768891,1,-0.31226399,6.4200784e-06,0.0003118053,0.0062687534,3586851.8,False,True,2.0387248e+08,1.154175e-12,2.0387248e+08,2.1642504,8.6304207,0.32516921,0.32516921,0.00065401829,0.0033013779,457.43586
52,0.19382813,1.2511005,-0.1768891,1,-0.33226399,6.1750399e-09,0.00036151331,0.0076185375,3525823.9,False,True,2.0457697e+08,8.1586488e-13,2.0457697e+08,2.3348893,8.5522499,0.34913431,0.34913431,0.0018502773,0.0015635547,453.36672
53,0.21888749,1.5006204,-0.076058648,1,-0.35226399,3.6391139e-15,0.0010388258,0.016814107,3422311.5,False,True,2.0548538e+08,-6.8912266e-13,2.0548538e+08,2.5478144,8.4900823,0.37838518,0.37838518,0.001009878,-0.0006887787,446.36287
54,0.23879285,1.1707001,-0.20827059,1,-0.37226399,1.2295872e-14,0.00015094254,0.00203373,3398640.5,False,True,2.0618452e+08,-2.511021e-12,2.0618452e+08,2.7159075,8.4256155,0.40505912,0.40505912,0.0020220922,0.00068192733,445.08832
55,0.26385221,1.4697971,-0.23981923,1,-0.39226399,2.6747762e-16,0.0013141961,0.03225875,3324358.9,False,True,2.0703212e+08,-4.2128813e-12,2.0703212e+08,2.9256877,8.3528225,0.43116761,0.43116761,0.00050818581,0.00041512922,439.67212
56,0.29540008,1.4697971,-0.23981923,1,-0.41226399,1.6295131e-05,0.0010281017,0.022117946,3237782.3,False,True,2.0804822e+08,-2.8521518e-12,2.0804822e+08,3.1880175,8.3239235,0.47063049,0.47063049,0.00040516539,0.00085705024,434.12805
57,0.33511649,1.5724764,-0.061802126,1,-0.43226399,3.633262e-16,0.0012257042,0.016376354,3124919.5,False,True,2.0924987e+08,8.1250168e-12,2.0924987e+08,3.5168985,8.2977963,0.51921009,0.51921009,0.00067467852,0.00068629225,426.82533
58,0.36666436,1.2053031,-0.24798121,1,-0.45226399,2.4562447e-16,0.00020285701,0.0026107728,3106738.5,False,True,2.1016155e+08,1.6031364e-11,2.1016155e+08,3.777201,8.2370722,0.55933823,0.55933823,0.00082509347,0.0015121982,425.7136
59,0.40638077,1.675204,-0.1583542,1,-0.47226399,2.1453713e-15,0.0019751681,0.035971195,3023288.8,False,True,2.1129582e+08,3.2471912e-12,2.1129582e+08,4.1023363,8.1794014,0.59845033,0.59845033,0.00012257817,-0.00047164823,419.28815
60,0.43792864,1.4083803,-0.13349868,1,-0.49226399,4.6980846e-17,0.00071004477,0.0088807433,2986122.8,False,True,2.1221222e+08,-3.3934292e-11,2.1221222e+08,4.3595205,8.1485104,0.63948772,0.63948772,-6.0824207e-05,-0.00011437216,417.09113
61,0.47764505,1.4083803,-0.13349868,1,-0.51226399,4.8149145e-05,0.00099165325,0.016134287,2941943.6,False,True,2.133839e+08,-5.9607608e-11,2.133839e+08,4.6818395,8.1148893,0.68326004,0.68326004,0.00021681707,0.0016025578,413.91229
